test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.5599,1,True,1,True,False,False,Softmax,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5491,1,True,1,True,False,False,Softmax,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5622,1,True,1,True,False,False,Softmax,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5565,1,True,1,True,False,False,Softmax,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
0.5636,1,True,1,True,False,False,Softmax,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5587,1,True,1,True,False,False,Softmax,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5548,1,True,1,True,False,False,Softmax,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5574,1,True,1,True,False,False,Softmax,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5598,1,True,1,True,False,False,Softmax,500,0.0008,6e-05,0.0006,0.0009,0.0033,128
0.5452,1,True,1,True,False,False,Softmax,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5606,1,True,1,True,False,False,Softmax,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5505,1,True,1,True,False,False,Softmax,500,0.0008,2e-05,0.0006,0.0009,0.0033,128


0.5564,1,True,1,True,False,False,RePU,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
.5485,1,True,1,True,False,False,RePU,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5533,1,True,1,True,False,False,RePU,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5545,1,True,1,True,False,False,RePU,500,0.0008,6e-05,0.0006,0.0009,0.0033,128
0.5434,1,True,1,True,False,False,RePU,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5493,1,True,1,True,False,False,RePU,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5567,1,True,1,True,False,False,RePU,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5617,1,True,1,True,False,False,RePU,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5587,1,True,1,True,False,False,RePU,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
